"Domain","Path","FirstName","LastName","Office","Title","Description","Department","Company","Phone","StreetAddress","City","State","PostalCode","Password","sAMAccountName","userPrincipalName","DisplayName"
CodyKerberos.sso , "OU=BulkUsers,DC=CodyKerberos,DC=sso" , John , Smith ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , John0Smith0 ,  "John0Smith0@CodyKerberos.sso" ,John0Smith0
CodyKerberos.sso , "OU=BulkUsers,DC=CodyKerberos,DC=sso" , John , Smith ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , John1Smith1 ,  "John1Smith1@CodyKerberos.sso" ,John1Smith1
CodyKerberos.sso , "OU=BulkUsers,DC=CodyKerberos,DC=sso" , John , Smith ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , John2Smith2 ,  "John2Smith2@CodyKerberos.sso" ,John2Smith2
CodyKerberos.sso , "OU=BulkUsers,DC=CodyKerberos,DC=sso" , John , Smith ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , John3Smith3 ,  "John3Smith3@CodyKerberos.sso" ,John3Smith3
CodyKerberos.sso , "OU=BulkUsers,DC=CodyKerberos,DC=sso" , John , Smith ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , John4Smith4 ,  "John4Smith4@CodyKerberos.sso" ,John4Smith4
CodyKerberos.sso , "OU=BulkUsers,DC=CodyKerberos,DC=sso" , John , Smith ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , John5Smith5 ,  "John5Smith5@CodyKerberos.sso" ,John5Smith5
CodyKerberos.sso , "OU=BulkUsers,DC=CodyKerberos,DC=sso" , John , Smith ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , John6Smith6 ,  "John6Smith6@CodyKerberos.sso" ,John6Smith6
CodyKerberos.sso , "OU=BulkUsers,DC=CodyKerberos,DC=sso" , John , Smith ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , John7Smith7 ,  "John7Smith7@CodyKerberos.sso" ,John7Smith7
CodyKerberos.sso , "OU=BulkUsers,DC=CodyKerberos,DC=sso" , John , Smith ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , John8Smith8 ,  "John8Smith8@CodyKerberos.sso" ,John8Smith8
CodyKerberos.sso , "OU=BulkUsers,DC=CodyKerberos,DC=sso" , John , Smith ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , "Alfr3sc0!" , John9Smith9 ,  "John9Smith9@CodyKerberos.sso" ,John9Smith9
